id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,200,3,33,2019-06-09,0.27,3,66
11169,Lovely Studio Room: Thu-Mons Near Universities!,40965,Mazzy,,North Cambridge,42.39469,-71.13223,Private room,98,2,142,2019-05-21,1.25,4,322
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39454,-71.13431,Private room,75,3,33,2019-04-14,0.28,4,363
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,185,3,6,2018-08-04,0.05,3,290
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,120,2,69,2019-07-19,0.79,1,328
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,225,3,9,2018-08-31,0.08,3,333
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.37057,-71.10029,Entire home/apt,200,3,325,2019-07-12,3.25,2,272
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,235,4,14,2019-06-01,0.15,3,335
108898,"""The Treehouse"":  Elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,150,2,17,2019-07-14,0.17,3,140
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.37275,-71.1067,Private room,100,3,319,2018-11-05,3.22,1,0
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,144,3,55,2019-06-20,0.59,1,329
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.3668,-71.10673,Entire home/apt,225,2,162,2019-07-10,1.72,9,61
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38375,-71.12955,Private room,80,2,54,2019-07-18,0.76,1,293
